City,Datetime,NO2,CO,SO2,O3,PM10
Delhi,01/01/15 1:00,41.78,9.29,3.41,54.94,935.18
Delhi,01/01/15 5:00,37.41,26.19,6.17,16,976.99
Delhi,01/01/15 6:00,32.06,11.04,7.33,12.33,862.23
Delhi,01/01/15 7:00,30.97,8.39,8,58.67,731.83
Delhi,01/01/15 8:00,26.83,7.89,9,13.42,725.74
Delhi,01/01/15 9:00,26.22,4.25,6.67,55.3,656.93
Delhi,01/01/15 10:00,27.7,15.31,6.67,54.28,525.54
Delhi,01/01/15 11:00,27.13,11.43,6,55.49,548.82
Delhi,01/01/15 12:00,26.91,15.19,5.5,53.17,522.93
Delhi,01/01/15 13:00,27.59,20.09,5.33,43.9,408.62
Delhi,01/01/15 14:00,27.83,21.32,6,47.54,340.28
Delhi,01/01/15 15:00,32.57,24.15,7.17,50.1,459.01
Delhi,01/01/15 16:00,37.08,15.24,12.33,34.35,340.66
Delhi,01/01/15 17:00,38.4,13.11,18,34.38,257.4
Delhi,01/01/15 18:00,44.73,18.35,19.17,38.42,351.01
Delhi,01/01/15 19:00,47.76,16.67,21.5,49.12,600.95
Delhi,01/01/15 20:00,46.31,12.17,17.67,56.44,714.63
Delhi,01/01/15 21:00,44.33,9.03,13.67,47.73,691.84
Delhi,01/01/15 22:00,43.87,13.66,12,48.34,732.59
Delhi,01/01/15 23:00,45.35,12.2,10.17,44.82,776.36
Delhi,02/01/15 0:00,43.71,20.02,7,54.32,860.32
Delhi,02/01/15 1:00,44.46,27.2,5.17,60.05,806.07
Delhi,02/01/15 2:00,43.69,0.61,6.33,62,856.68
Delhi,02/01/15 3:00,40.56,0.55,5.67,2.25,765
Delhi,02/01/15 4:00,40.35,0.56,7.67,2.75,797.09
Delhi,02/01/15 5:00,37.19,0.63,9.17,59,516.14
Delhi,02/01/15 6:00,34.97,0.71,10,65.89,467.81
Delhi,02/01/15 7:00,40.43,4.53,13.5,39.52,301.48
Delhi,02/01/15 8:00,38.17,2.51,14.5,25.72,115.4
Delhi,02/01/15 9:00,31.46,1.61,12.33,19.7,62.6
Delhi,02/01/15 10:00,28.8,6.42,10.33,25.53,41.87
Delhi,02/01/15 11:00,27.62,7.96,9.83,33.83,65.11
Delhi,02/01/15 12:00,26.87,17.87,9,19.41,36.25
Delhi,02/01/15 13:00,29.68,17.43,8.67,17.6,28.97
Delhi,02/01/15 14:00,29.79,11.62,7.17,17.24,52.68
Delhi,02/01/15 15:00,29.06,10.93,5.5,15.8,49.89
Delhi,02/01/15 16:00,27.68,14.06,5,30.36,64.7
Delhi,02/01/15 17:00,26.73,18.04,4.83,26.17,60.09
Delhi,02/01/15 18:00,26.85,15.52,2.83,17.24,99.63
Delhi,02/01/15 19:00,27.32,8.38,1.75,17.35,79.18
Delhi,02/01/15 20:00,28.09,10.76,1,39.76,92.42
Delhi,02/01/15 21:00,30.01,10.21,0.75,22.74,84.77
Delhi,02/01/15 22:00,27.71,9.61,0.75,19.85,87.2
Delhi,02/01/15 23:00,27.64,11.14,0.75,25.16,77.82
Delhi,03/01/15 0:00,27.08,8.26,1,18.83,80.01
Delhi,03/01/15 1:00,25.28,7.79,2,17.05,79.21
Delhi,03/01/15 2:00,25.42,11.09,1.75,15.06,64.16
Delhi,03/01/15 3:00,25.21,20.35,2.83,17.07,60.41
Delhi,03/01/15 4:00,24.08,19.74,1.83,16.87,58.67
Delhi,03/01/15 5:00,23.73,12.27,2.5,16.88,77.92
Delhi,03/01/15 6:00,22.56,13.98,1.5,19.75,121.09
Delhi,03/01/15 7:00,24.92,13.13,1.17,22.05,141.42
Delhi,03/01/15 8:00,22.71,14,1,20.52,153.5
Delhi,03/01/15 9:00,22.32,8.03,2.75,18.15,115.25
Delhi,03/01/15 10:00,22.52,11.73,2.75,16.98,77.69
Delhi,03/01/15 11:00,21.7,11.27,3,15.45,72.47
Delhi,03/01/15 12:00,22.94,9.59,3.25,15.53,72.14
Delhi,03/01/15 13:00,23.03,5.62,3,20.93,138.99
Delhi,03/01/15 14:00,22.88,7.34,3,14.8,136.04
Delhi,03/01/15 15:00,22.43,9.22,2.75,14.21,74.21
Delhi,03/01/15 16:00,22.48,10.46,2.25,14.38,75.63
Delhi,03/01/15 17:00,47.5,10.25,2.83,22.24,110.24
Delhi,03/01/15 18:00,52.39,7.99,2.61,23.98,201.95
Delhi,03/01/15 19:00,46.15,9.5,3.87,24.46,240.96
Delhi,03/01/15 20:00,47,9.42,3.99,23.72,244.87
Delhi,03/01/15 21:00,41.52,8.09,4.17,26.06,237.31
Delhi,03/01/15 22:00,47.2,8.23,3.96,26.38,237.23
Delhi,03/01/15 23:00,44.48,7.31,3.82,31.59,294.26
Delhi,04/01/15 0:00,47.84,11.32,3.32,30.65,348.1
Delhi,04/01/15 1:00,54.18,14.54,4.5,36.4,392.3
Delhi,04/01/15 2:00,41.9,12.91,3.12,31.93,324.97
